Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;;;
19:19:50.709674;IP;localhost;46382; localhost;domain;;;;;;48902;[1au];AAAA?;ocsp.godaddy.com.;-45;1;;;;;;;;;;;;;;;;;;;
19:19:50.735753;IP;localhost;domain ; localhost;46382;;;;;;51195;6/0/1;CNAME;ocsp.godaddy.com.akadns.net.,;A;1;;;;;A;192.124.249.24,;A;192.124.249.41;-166;;;;;;;;;;
19:19:50.760376;IP;localhost;domain ; localhost;46382;;;;;;48902;1/0/1;CNAME;ocsp.godaddy.com.akadns.net.;-86;1;;;;;;;;;;;;;;;;;;;
19:19:56.729560;IP;localhost;45917; localhost;domain;;;;;;42958;[1au];A?;ade.googlesyndication.com.;-54;1;;;;;;;;;;;;;;;;;;;
19:19:56.730060;IP;localhost;45917; localhost;domain;;;;;;25562;[1au];AAAA?;ade.googlesyndication.com.;-54;1;;;;;;;;;;;;;;;;;;;
19:19:56.751548;IP;localhost;domain ; localhost;45917;;;;;;42958;2/0/1;CNAME;pagead.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:56.753814;IP;localhost;domain ; localhost;45917;;;;;;25562;1/0/1;CNAME;pagead.l.doubleclick.net.;-92;1;;;;;;;;;;;;;;;;;;;
19:19:56.995963;IP;localhost;59447; localhost;domain;;;;;;41832;[1au];A?;games.cdn.famobi.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:56.996345;IP;localhost;59447; localhost;domain;;;;;;63347;[1au];AAAA?;games.cdn.famobi.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:57.000699;IP;localhost;44900; localhost;domain;;;;;;17263;[1au];A?;games.cdn.famobi.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:57.038766;IP;localhost;domain ; localhost;59447;;;;;;63347;2/0/1;CNAME;2-01-330e-0038.cdx.hccdn.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:57.039465;IP;localhost;34647; localhost;domain;;;;;;55581;[1au];A?;www.googletagmanager.com.;-53;1;;;;;;;;;;;;;;;;;;;
19:19:57.039749;IP;localhost;domain ; localhost;34647;;;;;;55581;2/0/1;CNAME;www-googletagmanager.l.google.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:57.039784;IP;localhost;34647; localhost;domain;;;;;;5415;[1au];AAAA?;www.googletagmanager.com.;-53;1;;;;;;;;;;;;;;;;;;;
19:19:57.044356;IP;localhost;34208; localhost;domain;;;;;;54515;[1au];A?;www.googletagmanager.com.;-53;1;;;;;;;;;;;;;;;;;;;
19:19:57.044732;IP;localhost;domain ; localhost;34208;;;;;;54515;2/0/1;CNAME;www-googletagmanager.l.google.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:57.061787;IP;localhost;domain ; localhost;34647;;;;;;5415;2/0/1;CNAME;www-googletagmanager.l.google.com.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:19:57.840731;IP;localhost;domain ; localhost;59447;;;;;;41832;3/0/1;CNAME;2-01-330e-0038.cdx.hccdn.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:57.840880;IP;localhost;domain ; localhost;44900;;;;;;17263;3/0/1;CNAME;2-01-330e-0038.cdx.hccdn.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:58.344753;IP;localhost;57228; localhost;domain;;;;;;50049;[1au];A?;www.googletagservices.com.;-54;1;;;;;;;;;;;;;;;;;;;
19:19:58.345083;IP;localhost;domain ; localhost;57228;;;;;;50049;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:58.345124;IP;localhost;57228; localhost;domain;;;;;;5004;[1au];AAAA?;www.googletagservices.com.;-54;1;;;;;;;;;;;;;;;;;;;
19:19:58.345279;IP;localhost;domain ; localhost;57228;;;;;;5004;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:19:58.559884;IP;localhost;32968; localhost;domain;;;;;;60979;[1au];A?;play.famobi.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:58.560255;IP;localhost;32968; localhost;domain;;;;;;23102;[1au];AAAA?;play.famobi.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:58.563994;IP;localhost;37347; localhost;domain;;;;;;33459;[1au];A?;play.famobi.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:58.583046;IP;localhost;domain ; localhost;32968;;;;;;60979;2/0/1;CNAME;api.famobi.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:58.583136;IP;localhost;domain ; localhost;37347;;;;;;33459;2/0/1;CNAME;api.famobi.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:58.601189;IP;localhost;domain ; localhost;32968;;;;;;23102;2/0/1;CNAME;api.famobi.com.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:19:58.762402;IP;localhost;56327; localhost;domain;;;;;;20713;[1au];A?;www.1001jeux.fr.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:58.762597;IP;localhost;domain ; localhost;56327;;;;;;20713;2/0/1;A;104.26.2.46,;A;1;;;;;;;;;;;;;;;;;;;
19:19:58.762637;IP;localhost;56327; localhost;domain;;;;;;59635;[1au];AAAA?;www.1001jeux.fr.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:58.762730;IP;localhost;domain ; localhost;56327;;;;;;59635;2/0/1;AAAA;2606:4700:20::681a:22e,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:19:58.818036;IP;localhost;38518; localhost;domain;;;;;;36778;[1au];A?;ccf.admeen.org.;-43;1;;;;;;;;;;;;;;;;;;;
19:19:58.818243;IP;localhost;domain ; localhost;38518;;;;;;36778;2/0/1;A;104.24.17.66,;A;1;;;;;;;;;;;;;;;;;;;
19:19:58.818281;IP;localhost;38518; localhost;domain;;;;;;19384;[1au];AAAA?;ccf.admeen.org.;-43;1;;;;;;;;;;;;;;;;;;;
19:19:58.818377;IP;localhost;domain ; localhost;38518;;;;;;19384;0/0/1;-43;;;1;;;;;;;;;;;;;;;;;;;
19:20:00.858347;IP;localhost;40144; localhost;domain;;;;;;43807;[1au];A?;www.google-analytics.com.;-53;1;;;;;;;;;;;;;;;;;;;
19:20:00.858614;IP;localhost;domain ; localhost;40144;;;;;;43807;2/0/1;CNAME;www-google-analytics.l.google.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:20:00.858647;IP;localhost;40144; localhost;domain;;;;;;60202;[1au];AAAA?;www.google-analytics.com.;-53;1;;;;;;;;;;;;;;;;;;;
19:20:00.858790;IP;localhost;domain ; localhost;40144;;;;;;60202;2/0/1;CNAME;www-google-analytics.l.google.com.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:20:01.971185;IP;localhost;55303; localhost;domain;;;;;;64652;[1au];A?;img.cdn.famobi.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:01.971624;IP;localhost;55303; localhost;domain;;;;;;9367;[1au];AAAA?;img.cdn.famobi.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:01.994145;IP;localhost;domain ; localhost;55303;;;;;;64652;3/0/1;CNAME;2-01-330e-0038.cdx.hccdn.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:01.996176;IP;localhost;domain ; localhost;55303;;;;;;9367;2/0/1;CNAME;2-01-330e-0038.cdx.hccdn.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:02.282166;IP;localhost;41093; localhost;domain;;;;;;50316;[1au];A?;api.famobi.com.;-43;1;;;;;;;;;;;;;;;;;;;
19:20:02.282373;IP;localhost;domain ; localhost;41093;;;;;;50316;1/0/1;A;35.190.20.88;-59;1;;;;;;;;;;;;;;;;;;;
19:20:02.282405;IP;localhost;41093; localhost;domain;;;;;;7320;[1au];AAAA?;api.famobi.com.;-43;1;;;;;;;;;;;;;;;;;;;
19:20:02.282497;IP;localhost;domain ; localhost;41093;;;;;;7320;1/0/1;AAAA;2600:1901:0:7f0::;-71;1;;;;;;;;;;;;;;;;;;;
19:20:02.401095;IP;localhost;35133; localhost;domain;;;;;;21055;[1au];A?;e.serverbid.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:20:02.401304;IP;localhost;domain ; localhost;35133;;;;;;21055;1/0/1;A;206.189.254.17;-60;1;;;;;;;;;;;;;;;;;;;
19:20:02.401343;IP;localhost;35133; localhost;domain;;;;;;64073;[1au];AAAA?;e.serverbid.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:20:02.401439;IP;localhost;domain ; localhost;35133;;;;;;64073;0/0/1;-44;;;1;;;;;;;;;;;;;;;;;;;
19:20:02.451687;IP;localhost;37838; localhost;domain;;;;;;9952;[1au];A?;prg.smartadserver.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:02.452112;IP;localhost;domain ; localhost;37838;;;;;;9952;9/0/1;CNAME;prga.smartadserver.com.,;CNAME;1;;;;;A;185.86.137.17,;A;185.86.137.43,;A;185.86.137.32,;A;185.86.137.42,;A;185.86.137.113;-227;;;;
19:20:02.452154;IP;localhost;37838; localhost;domain;;;;;;31466;[1au];AAAA?;prg.smartadserver.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:02.452382;IP;localhost;domain ; localhost;37838;;;;;;31466;3/0/1;CNAME;prga.smartadserver.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:02.460628;IP;localhost;59081; localhost;domain;;;;;;50844;[1au];A?;prg.smartadserver.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:02.460979;IP;localhost;domain ; localhost;59081;;;;;;50844;9/0/1;CNAME;prga.smartadserver.com.,;CNAME;1;;;;;A;185.86.137.17,;A;185.86.137.43,;A;185.86.137.32,;A;185.86.137.42,;A;185.86.137.113;-227;;;;
19:20:02.461013;IP;localhost;59081; localhost;domain;;;;;;63142;[1au];AAAA?;prg.smartadserver.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:02.461298;IP;localhost;domain ; localhost;59081;;;;;;63142;3/0/1;CNAME;prga.smartadserver.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:02.471258;IP;localhost;42840; localhost;domain;;;;;;18164;[1au];A?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:20:02.471625;IP;localhost;domain ; localhost;42840;;;;;;18164;10/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;A;37.252.172.249,;A;37.252.172.38,;A;37.252.172.36,;A;37.252.173.62,;A;37.252.173.38,;A;37.252.172.45;-218;;
19:20:02.471666;IP;localhost;42840; localhost;domain;;;;;;39679;[1au];AAAA?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:20:02.471844;IP;localhost;domain ; localhost;42840;;;;;;39679;2/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:02.785530;IP;localhost;53171; localhost;domain;;;;;;47358;[1au];A?;www.gstatic.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:20:02.785953;IP;localhost;53171; localhost;domain;;;;;;50185;[1au];AAAA?;www.gstatic.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:20:02.786084;IP;localhost;domain ; localhost;53171;;;;;;50185;1/0/1;AAAA;2a00:1450:4007:810::2003;-72;1;;;;;;;;;;;;;;;;;;;
19:20:02.787504;IP;localhost;59709; localhost;domain;;;;;;40041;[1au];A?;www.gstatic.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:20:02.800849;IP;localhost;56325; localhost;domain;;;;;;56138;[1au];A?;pro.ip-api.com.;-43;1;;;;;;;;;;;;;;;;;;;
19:20:02.801208;IP;localhost;56325; localhost;domain;;;;;;1878;[1au];AAAA?;pro.ip-api.com.;-43;1;;;;;;;;;;;;;;;;;;;
19:20:02.806951;IP;localhost;domain ; localhost;59709;;;;;;40041;1/0/1;A;172.217.19.227;-60;1;;;;;;;;;;;;;;;;;;;
19:20:02.806989;IP;localhost;domain ; localhost;53171;;;;;;47358;1/0/1;A;172.217.19.227;-60;1;;;;;;;;;;;;;;;;;;;
19:20:02.824560;IP;localhost;domain ; localhost;56325;;;;;;1878;0/0/1;-43;;;1;;;;;;;;;;;;;;;;;;;
19:20:02.824696;IP;localhost;domain ; localhost;56325;;;;;;56138;1/0/1;A;193.234.225.88;-59;1;;;;;;;;;;;;;;;;;;;
19:20:03.030894;IP;localhost;40435; localhost;domain;;;;;;49186;[1au];A?;static.html5games.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:03.031159;IP;localhost;domain ; localhost;40435;;;;;;49186;1/0/1;A;35.186.216.104;-66;1;;;;;;;;;;;;;;;;;;;
19:20:03.031193;IP;localhost;40435; localhost;domain;;;;;;11310;[1au];AAAA?;static.html5games.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:03.032847;IP;localhost;37690; localhost;domain;;;;;;21692;[1au];A?;static.html5games.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:03.033022;IP;localhost;domain ; localhost;37690;;;;;;21692;1/0/1;A;35.186.216.104;-66;1;;;;;;;;;;;;;;;;;;;
19:20:03.045712;IP;localhost;36340; localhost;domain;;;;;;56514;[1au];A?;imasdk.googleapis.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:03.045895;IP;localhost;domain ; localhost;36340;;;;;;56514;1/0/1;A;172.217.18.202;-66;1;;;;;;;;;;;;;;;;;;;
19:20:03.045926;IP;localhost;36340; localhost;domain;;;;;;17613;[1au];AAAA?;imasdk.googleapis.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:20:03.046016;IP;localhost;domain ; localhost;36340;;;;;;17613;1/0/1;AAAA;2a00:1450:4007:815::200a;-78;1;;;;;;;;;;;;;;;;;;;
19:20:03.054231;IP;localhost;domain ; localhost;40435;;;;;;11310;0/0/1;-50;;;1;;;;;;;;;;;;;;;;;;;
19:20:03.309741;IP;localhost;49291; localhost;domain;;;;;;17832;[1au];A?;api.html5games.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:03.309938;IP;localhost;domain ; localhost;49291;;;;;;17832;1/0/1;A;35.187.121.151;-63;1;;;;;;;;;;;;;;;;;;;
19:20:03.309970;IP;localhost;49291; localhost;domain;;;;;;62898;[1au];AAAA?;api.html5games.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:03.331259;IP;localhost;domain ; localhost;49291;;;;;;62898;0/0/1;-47;;;1;;;;;;;;;;;;;;;;;;;
19:20:03.332707;IP;localhost;34335; localhost;domain;;;;;;56778;[1au];A?;api.html5games.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:03.332882;IP;localhost;domain ; localhost;34335;;;;;;56778;1/0/1;A;35.187.121.151;-63;1;;;;;;;;;;;;;;;;;;;
19:20:03.333438;IP;localhost;58998; localhost;domain;;;;;;61872;[1au];A?;api.html5games.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:03.333561;IP;localhost;domain ; localhost;58998;;;;;;61872;1/0/1;A;35.187.121.151;-63;1;;;;;;;;;;;;;;;;;;;
19:20:03.333703;IP;localhost;34335; localhost;domain;;;;;;41431;[1au];AAAA?;api.html5games.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:03.333806;IP;localhost;domain ; localhost;34335;;;;;;41431;0/0/1;-47;;;1;;;;;;;;;;;;;;;;;;;
19:20:03.340503;IP;localhost;50532; localhost;domain;;;;;;34123;[1au];A?;stats.g.doubleclick.net.;-52;1;;;;;;;;;;;;;;;;;;;
19:20:03.340747;IP;localhost;domain ; localhost;50532;;;;;;34123;5/0/1;CNAME;stats.l.doubleclick.net.,;A;1;;;;;A;74.125.133.156;-138;;;;;;;;;;;;
19:20:03.340780;IP;localhost;50532; localhost;domain;;;;;;5462;[1au];AAAA?;stats.g.doubleclick.net.;-52;1;;;;;;;;;;;;;;;;;;;
19:20:03.342930;IP;localhost;54688; localhost;domain;;;;;;44535;[1au];A?;stats.g.doubleclick.net.;-52;1;;;;;;;;;;;;;;;;;;;
19:20:03.343225;IP;localhost;domain ; localhost;54688;;;;;;44535;5/0/1;CNAME;stats.l.doubleclick.net.,;A;1;;;;;A;74.125.133.156;-138;;;;;;;;;;;;
19:20:03.354038;IP;localhost;57796; localhost;domain;;;;;;10739;[1au];A?;s-usc1c-nss-292.firebaseio.com.;-59;1;;;;;;;;;;;;;;;;;;;
19:20:03.354761;IP;localhost;57796; localhost;domain;;;;;;28158;[1au];AAAA?;s-usc1c-nss-292.firebaseio.com.;-59;1;;;;;;;;;;;;;;;;;;;
19:20:03.366079;IP;localhost;domain ; localhost;50532;;;;;;5462;2/0/1;CNAME;stats.l.doubleclick.net.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:20:03.375941;IP;localhost;domain ; localhost;57796;;;;;;10739;1/0/1;A;35.201.97.85;-75;1;;;;;;;;;;;;;;;;;;;
19:20:03.388244;IP;localhost;domain ; localhost;57796;;;;;;28158;1/0/1;AAAA;2600:1901:0:94b6::;-87;1;;;;;;;;;;;;;;;;;;;
19:20:03.389743;IP;localhost;35790; localhost;domain;;;;;;7880;[1au];A?;s-usc1c-nss-292.firebaseio.com.;-59;1;;;;;;;;;;;;;;;;;;;
19:20:03.389921;IP;localhost;domain ; localhost;35790;;;;;;7880;1/0/1;A;35.201.97.85;-75;1;;;;;;;;;;;;;;;;;;;
19:20:03.390430;IP;localhost;35790; localhost;domain;;;;;;1746;[1au];AAAA?;s-usc1c-nss-292.firebaseio.com.;-59;1;;;;;;;;;;;;;;;;;;;
19:20:03.390558;IP;localhost;domain ; localhost;35790;;;;;;1746;1/0/1;AAAA;2600:1901:0:94b6::;-87;1;;;;;;;;;;;;;;;;;;;
19:20:03.653729;IP;localhost;49343; localhost;domain;;;;;;52973;[1au];A?;securepubads.g.doubleclick.net.;-59;1;;;;;;;;;;;;;;;;;;;
19:20:03.654023;IP;localhost;domain ; localhost;49343;;;;;;52973;2/0/1;CNAME;partnerad.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:20:03.654156;IP;localhost;49343; localhost;domain;;;;;;5886;[1au];AAAA?;securepubads.g.doubleclick.net.;-59;1;;;;;;;;;;;;;;;;;;;
19:20:03.676661;IP;localhost;domain ; localhost;49343;;;;;;5886;1/0/1;CNAME;partnerad.l.doubleclick.net.;-85;1;;;;;;;;;;;;;;;;;;;
19:20:04.022087;IP;localhost;60127; localhost;domain;;;;;;28924;[1au];A?;www.google.fr.;-42;1;;;;;;;;;;;;;;;;;;;
19:20:04.022464;IP;localhost;60127; localhost;domain;;;;;;52230;[1au];AAAA?;www.google.fr.;-42;1;;;;;;;;;;;;;;;;;;;
19:20:04.026448;IP;localhost;59126; localhost;domain;;;;;;24017;[1au];A?;www.google.fr.;-42;1;;;;;;;;;;;;;;;;;;;
19:20:04.051021;IP;localhost;domain ; localhost;60127;;;;;;52230;1/0/1;AAAA;2a00:1450:4007:816::2003;-70;1;;;;;;;;;;;;;;;;;;;
19:20:04.051104;IP;localhost;domain ; localhost;59126;;;;;;24017;1/0/1;A;216.58.215.35;-58;1;;;;;;;;;;;;;;;;;;;
19:20:04.051132;IP;localhost;domain ; localhost;60127;;;;;;28924;1/0/1;A;216.58.215.35;-58;1;;;;;;;;;;;;;;;;;;;
19:20:05.060359;IP;localhost;58599; localhost;domain;;;;;;43886;[1au];A?;googleads.g.doubleclick.net.;-56;1;;;;;;;;;;;;;;;;;;;
19:20:05.060763;IP;localhost;58599; localhost;domain;;;;;;38777;[1au];AAAA?;googleads.g.doubleclick.net.;-56;1;;;;;;;;;;;;;;;;;;;
19:20:05.082805;IP;localhost;domain ; localhost;58599;;;;;;38777;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:20:05.087964;IP;localhost;domain ; localhost;58599;;;;;;43886;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:20:05.135653;IP;localhost;37297; localhost;domain;;;;;;17487;[1au];A?;mmtro.com.;-38;1;;;;;;;;;;;;;;;;;;;
19:20:05.135840;IP;localhost;domain ; localhost;37297;;;;;;17487;1/0/1;A;195.66.82.41;-54;1;;;;;;;;;;;;;;;;;;;
19:20:05.135873;IP;localhost;37297; localhost;domain;;;;;;52312;[1au];AAAA?;mmtro.com.;-38;1;;;;;;;;;;;;;;;;;;;
19:20:05.135955;IP;localhost;domain ; localhost;37297;;;;;;52312;0/0/1;-38;;;1;;;;;;;;;;;;;;;;;;;
19:20:05.172728;IP;localhost;59715; localhost;domain;;;;;;53412;[1au];A?;groupelaposte.solution.weborama.fr.;-63;1;;;;;;;;;;;;;;;;;;;
19:20:05.173129;IP;localhost;59715; localhost;domain;;;;;;16559;[1au];AAAA?;groupelaposte.solution.weborama.fr.;-63;1;;;;;;;;;;;;;;;;;;;
19:20:05.186611;IP;localhost;36401; localhost;domain;;;;;;50000;[1au];A?;j.adlooxtracking.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:20:05.186809;IP;localhost;domain ; localhost;36401;;;;;;50000;9/0/1;A;37.187.24.88,;A;1;;;;;A;37.187.27.147,;A;37.59.21.193,;A;5.135.142.37,;A;37.187.28.21,;A;37.187.148.39;-193;;;;
19:20:05.186842;IP;localhost;36401; localhost;domain;;;;;;28506;[1au];AAAA?;j.adlooxtracking.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:20:05.186931;IP;localhost;domain ; localhost;36401;;;;;;28506;0/0/1;-49;;;1;;;;;;;;;;;;;;;;;;;
19:20:05.196082;IP;localhost;domain ; localhost;59715;;;;;;53412;1/0/1;A;91.216.195.18;-79;1;;;;;;;;;;;;;;;;;;;
19:20:05.198100;IP;localhost;domain ; localhost;59715;;;;;;16559;0/0/1;-63;;;1;;;;;;;;;;;;;;;;;;;
19:20:06.410523;IP;localhost;52248; localhost;domain;;;;;;8544;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;;;
19:20:06.411019;IP;localhost;52248; localhost;domain;;;;;;34155;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;;;
19:20:06.434948;IP;localhost;domain ; localhost;52248;;;;;;8544;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:06.461784;IP;localhost;domain ; localhost;52248;;;;;;34155;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:07.532354;IP;localhost;49555; localhost;domain;;;;;;23644;[1au];A?;media.adrcdn.com.;-45;1;;;;;;;;;;;;;;;;;;;
19:20:07.532854;IP;localhost;domain ; localhost;49555;;;;;;23644;3/0/1;CNAME;wpc.0394.edgecastcdn.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:07.532901;IP;localhost;49555; localhost;domain;;;;;;3178;[1au];AAAA?;media.adrcdn.com.;-45;1;;;;;;;;;;;;;;;;;;;
19:20:07.533096;IP;localhost;domain ; localhost;49555;;;;;;3178;2/0/1;CNAME;wpc.0394.edgecastcdn.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:07.554817;IP;localhost;38459; localhost;domain;;;;;;56444;[1au];A?;cdnjs.cloudflare.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:20:07.555408;IP;localhost;38459; localhost;domain;;;;;;35975;[1au];AAAA?;cdnjs.cloudflare.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:20:07.577313;IP;localhost;domain ; localhost;38459;;;;;;56444;2/0/1;A;104.16.132.229,;A;1;;;;;;;;;;;;;;;;;;;
19:20:07.580666;IP;localhost;domain ; localhost;38459;;;;;;35975;2/0/1;AAAA;2606:4700::6810:85e5,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:20:08.031462;IP;localhost;35207; localhost;domain;;;;;;5967;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;;;
19:20:08.032064;IP;localhost;35207; localhost;domain;;;;;;57177;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;;;
19:20:08.032299;IP;localhost;domain ; localhost;35207;;;;;;57177;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:08.056255;IP;localhost;domain ; localhost;35207;;;;;;5967;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:20:08.063937;IP;localhost;48598; localhost;domain;;;;;;51980;[1au];A?;apis.google.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:20:08.064778;IP;localhost;48598; localhost;domain;;;;;;22301;[1au];AAAA?;apis.google.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:20:08.065042;IP;localhost;domain ; localhost;48598;;;;;;22301;2/0/1;CNAME;plus.l.google.com.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:20:08.065594;IP;localhost;35259; localhost;domain;;;;;;9063;[1au];A?;encrypted-tbn0.gstatic.com.;-55;1;;;;;;;;;;;;;;;;;;;
19:20:08.066083;IP;localhost;35259; localhost;domain;;;;;;61300;[1au];AAAA?;encrypted-tbn0.gstatic.com.;-55;1;;;;;;;;;;;;;;;;;;;
19:20:08.086964;IP;localhost;domain ; localhost;48598;;;;;;51980;2/0/1;CNAME;plus.l.google.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:20:08.089681;IP;localhost;domain ; localhost;35259;;;;;;61300;1/0/1;AAAA;2a00:1450:4007:80f::200e;-83;1;;;;;;;;;;;;;;;;;;;
19:20:08.089846;IP;localhost;domain ; localhost;35259;;;;;;9063;1/0/1;A;172.217.19.238;-71;1;;;;;;;;;;;;;;;;;;;
19:20:08.817009;IP;localhost;42610; localhost;domain;;;;;;26848;[1au];A?;fonts.gstatic.com.;-46;1;;;;;;;;;;;;;;;;;;;
19:20:08.817626;IP;localhost;42610; localhost;domain;;;;;;2282;[1au];AAAA?;fonts.gstatic.com.;-46;1;;;;;;;;;;;;;;;;;;;
19:20:08.841671;IP;localhost;domain ; localhost;42610;;;;;;26848;2/0/1;CNAME;gstaticadssl.l.google.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:20:08.843840;IP;localhost;domain ; localhost;42610;;;;;;2282;2/0/1;CNAME;gstaticadssl.l.google.com.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:20:09.562089;IP;localhost;52316; localhost;domain;;;;;;10671;[1au];A?;cms.quantserve.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:09.562517;IP;localhost;52316; localhost;domain;;;;;;23994;[1au];AAAA?;cms.quantserve.com.;-47;1;;;;;;;;;;;;;;;;;;;
19:20:09.585057;IP;localhost;domain ; localhost;52316;;;;;;10671;10/0/1;CNAME;2kpixel.quantserve.com.,;CNAME;1;;;;;A;91.228.74.253,;A;91.228.74.210,;A;91.228.74.208,;A;91.228.74.233,;A;91.228.74.217,;A;91.228.74.211;-221;;
19:20:09.593596;IP;localhost;38926; localhost;domain;;;;;;61889;[1au];A?;sync.mathtag.com.;-45;1;;;;;;;;;;;;;;;;;;;
19:20:09.594260;IP;localhost;38926; localhost;domain;;;;;;30161;[1au];AAAA?;sync.mathtag.com.;-45;1;;;;;;;;;;;;;;;;;;;
19:20:09.608319;IP;localhost;domain ; localhost;52316;;;;;;23994;2/0/1;CNAME;2kpixel.quantserve.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
