Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;;;
19:19:40.969212;IP;localhost;domain ; localhost;49831;;;;;;14525;3/0/1;CNAME;cdn-sic.33across.com.cdn.cloudflare.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:40.969601;IP;localhost;52851; localhost;domain;;;;;;64613;[1au];A?;33across-d.openx.net.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:40.969765;IP;localhost;domain ; localhost;52851;;;;;;64613;1/0/1;A;34.95.120.147;-65;1;;;;;;;;;;;;;;;;;;;
19:19:40.969820;IP;localhost;52851; localhost;domain;;;;;;57452;[1au];AAAA?;33across-d.openx.net.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:40.969913;IP;localhost;domain ; localhost;52851;;;;;;57452;0/0/1;-49;;;1;;;;;;;;;;;;;;;;;;;
19:19:40.970091;IP;localhost;37368; localhost;domain;;;;;;242;[1au];A?;adserver.adtechus.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:40.970563;IP;localhost;37368; localhost;domain;;;;;;9463;[1au];AAAA?;adserver.adtechus.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:40.971450;IP;localhost;domain ; localhost;49831;;;;;;49350;1/0/1;CNAME;cdn-sic.33across.com.cdn.cloudflare.net.;-102;1;;;;;;;;;;;;;;;;;;;
19:19:40.971631;IP;localhost;domain ; localhost;39029;;;;;;37088;2/0/1;CNAME;chi.sic.33across.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:40.971927;IP;localhost;38105; localhost;domain;;;;;;19704;[1au];A?;psa.carambo.la.;-43;1;;;;;;;;;;;;;;;;;;;
19:19:40.972233;IP;localhost;38105; localhost;domain;;;;;;23807;[1au];AAAA?;psa.carambo.la.;-43;1;;;;;;;;;;;;;;;;;;;
19:19:40.992883;IP;localhost;domain ; localhost;37368;;;;;;242;4/0/1;CNAME;cs673.wpc.thetacdn.net.,;CNAME;1;;;;;-171;;;;;;;;;;;;;;
19:19:40.995422;IP;localhost;domain ; localhost;39029;;;;;;19686;1/0/1;CNAME;chi.sic.33across.com.;-63;1;;;;;;;;;;;;;;;;;;;
19:19:40.995768;IP;localhost;55565; localhost;domain;;;;;;11269;[1au];A?;analytics.carambo.la.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:40.996057;IP;localhost;55565; localhost;domain;;;;;;23567;[1au];AAAA?;analytics.carambo.la.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:40.996772;IP;localhost;domain ; localhost;38105;;;;;;19704;3/0/1;CNAME;cbola-psa.us-east-1.elasticbeanstalk.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:41.015186;IP;localhost;domain ; localhost;38105;;;;;;23807;1/0/1;CNAME;cbola-psa.us-east-1.elasticbeanstalk.com.;-97;1;;;;;;;;;;;;;;;;;;;
19:19:41.017484;IP;localhost;domain ; localhost;37368;;;;;;9463;3/0/1;CNAME;cs673.wpc.thetacdn.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:41.021780;IP;localhost;domain ; localhost;55565;;;;;;11269;5/0/1;CNAME;cbola-analytics-c5-6.us-east-1.elasticbeanstalk.com.,;A;1;;;;;A;18.210.118.130;-178;;;;;;;;;;;;
19:19:41.042234;IP;localhost;domain ; localhost;55565;;;;;;23567;1/0/1;CNAME;cbola-analytics-c5-6.us-east-1.elasticbeanstalk.com.;-114;1;;;;;;;;;;;;;;;;;;;
19:19:41.421165;IP;localhost;46688; localhost;domain;;;;;;2057;[1au];A?;tcf.admeen.org.;-43;1;;;;;;;;;;;;;;;;;;;
19:19:41.421622;IP;localhost;46688; localhost;domain;;;;;;7189;[1au];AAAA?;tcf.admeen.org.;-43;1;;;;;;;;;;;;;;;;;;;
19:19:41.421762;IP;localhost;domain ; localhost;46688;;;;;;7189;0/0/1;-43;;;1;;;;;;;;;;;;;;;;;;;
19:19:41.445265;IP;localhost;domain ; localhost;46688;;;;;;2057;2/0/1;A;104.24.17.66,;A;1;;;;;;;;;;;;;;;;;;;
19:19:43.023030;IP;localhost;43842; localhost;domain;;;;;;62586;[1au];A?;www.1001jeux.fr.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:43.023223;IP;localhost;domain ; localhost;43842;;;;;;62586;2/0/1;A;104.26.2.46,;A;1;;;;;;;;;;;;;;;;;;;
19:19:43.023348;IP;localhost;43842; localhost;domain;;;;;;31877;[1au];AAAA?;www.1001jeux.fr.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:43.023505;IP;localhost;domain ; localhost;43842;;;;;;31877;2/0/1;AAAA;2606:4700:20::681a:22e,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:19:46.592252;IP;localhost;44850; localhost;domain;;;;;;8386;[1au];A?;e.serverbid.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:46.592659;IP;localhost;44850; localhost;domain;;;;;;57548;[1au];AAAA?;e.serverbid.com.;-44;1;;;;;;;;;;;;;;;;;;;
19:19:46.592767;IP;localhost;domain ; localhost;44850;;;;;;57548;0/0/1;-44;;;1;;;;;;;;;;;;;;;;;;;
19:19:46.602227;IP;localhost;56002; localhost;domain;;;;;;45135;[1au];A?;prg.smartadserver.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:46.602642;IP;localhost;domain ; localhost;56002;;;;;;45135;9/0/1;CNAME;prga.smartadserver.com.,;CNAME;1;;;;;A;185.86.137.17,;A;185.86.137.43,;A;185.86.137.32,;A;185.86.137.42,;A;185.86.137.113;-227;;;;
19:19:46.602700;IP;localhost;56002; localhost;domain;;;;;;12378;[1au];AAAA?;prg.smartadserver.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:46.602930;IP;localhost;domain ; localhost;56002;;;;;;12378;3/0/1;CNAME;prga.smartadserver.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:46.613909;IP;localhost;34985; localhost;domain;;;;;;40749;[1au];A?;prg.smartadserver.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:46.614509;IP;localhost;domain ; localhost;34985;;;;;;40749;9/0/1;CNAME;prga.smartadserver.com.,;CNAME;1;;;;;A;185.86.137.17,;A;185.86.137.43,;A;185.86.137.32,;A;185.86.137.42,;A;185.86.137.113;-227;;;;
19:19:46.614601;IP;localhost;domain ; localhost;44850;;;;;;8386;1/0/1;A;206.189.254.17;-60;1;;;;;;;;;;;;;;;;;;;
19:19:46.614755;IP;localhost;34985; localhost;domain;;;;;;13112;[1au];AAAA?;prg.smartadserver.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:46.614993;IP;localhost;domain ; localhost;34985;;;;;;13112;3/0/1;CNAME;prga.smartadserver.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:46.644855;IP;localhost;40081; localhost;domain;;;;;;22869;[1au];A?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:19:46.645152;IP;localhost;domain ; localhost;40081;;;;;;22869;10/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;A;37.252.172.249,;A;37.252.172.38,;A;37.252.172.36,;A;37.252.173.62,;A;37.252.173.38,;A;37.252.172.45;-218;;
19:19:46.645185;IP;localhost;40081; localhost;domain;;;;;;44383;[1au];AAAA?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:19:46.668536;IP;localhost;domain ; localhost;40081;;;;;;44383;2/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:48.977131;IP;localhost;36747; localhost;domain;;;;;;51512;[1au];A?;s0.2mdn.net.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:48.977409;IP;localhost;domain ; localhost;36747;;;;;;51512;2/0/1;CNAME;s0-2mdn-net.l.google.com.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:48.977843;IP;localhost;36747; localhost;domain;;;;;;63811;[1au];AAAA?;s0.2mdn.net.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:49.006257;IP;localhost;domain ; localhost;36747;;;;;;63811;2/0/1;CNAME;s0-2mdn-net.l.google.com.,;AAAA;1;;;;;;;;;;;;;;;;;;;
19:19:49.174694;IP;localhost;45589; localhost;domain;;;;;;60853;[1au];A?;ad.atdmt.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:19:49.175222;IP;localhost;45589; localhost;domain;;;;;;49601;[1au];AAAA?;ad.atdmt.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:19:49.195804;IP;localhost;49589; localhost;domain;;;;;;48455;[1au];A?;code.createjs.com.;-46;1;;;;;;;;;;;;;;;;;;;
19:19:49.196334;IP;localhost;49589; localhost;domain;;;;;;55634;[1au];AAAA?;code.createjs.com.;-46;1;;;;;;;;;;;;;;;;;;;
19:19:49.201151;IP;localhost;domain ; localhost;45589;;;;;;49601;3/0/1;CNAME;geo.atlassbx.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:49.201357;IP;localhost;domain ; localhost;45589;;;;;;60853;3/0/1;CNAME;geo.atlassbx.com.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:49.216058;IP;localhost;33784; localhost;domain;;;;;;12338;[1au];A?;googleads4.g.doubleclick.net.;-57;1;;;;;;;;;;;;;;;;;;;
19:19:49.216304;IP;localhost;domain ; localhost;33784;;;;;;12338;2/0/1;CNAME;pagead.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:49.216337;IP;localhost;33784; localhost;domain;;;;;;24637;[1au];AAAA?;googleads4.g.doubleclick.net.;-57;1;;;;;;;;;;;;;;;;;;;
19:19:49.216472;IP;localhost;domain ; localhost;33784;;;;;;24637;1/0/1;CNAME;pagead.l.doubleclick.net.;-80;1;;;;;;;;;;;;;;;;;;;
19:19:49.217666;IP;localhost;domain ; localhost;49589;;;;;;48455;3/0/1;CNAME;san-download.adobe.com.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:49.220017;IP;localhost;domain ; localhost;49589;;;;;;55634;5/0/1;CNAME;san-download.adobe.com.edgekey.net.,;CNAME;1;;;;;AAAA;2a02:26f0:ff:2b5::1349;-214;;;;;;;;;;;;
19:19:50.256018;IP;localhost;47279; localhost;domain;;;;;;63387;[1au];A?;dclk-match.dotomi.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:50.256402;IP;localhost;47279; localhost;domain;;;;;;59301;[1au];AAAA?;dclk-match.dotomi.com.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:50.264209;IP;localhost;33695; localhost;domain;;;;;;15234;[1au];A?;pm.w55c.net.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:50.264577;IP;localhost;33695; localhost;domain;;;;;;32652;[1au];AAAA?;pm.w55c.net.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:50.272637;IP;localhost;56318; localhost;domain;;;;;;11081;[1au];A?;pr-bh.ybp.yahoo.com.;-48;1;;;;;;;;;;;;;;;;;;;
19:19:50.272990;IP;localhost;56318; localhost;domain;;;;;;13139;[1au];AAAA?;pr-bh.ybp.yahoo.com.;-48;1;;;;;;;;;;;;;;;;;;;
19:19:50.280017;IP;localhost;domain ; localhost;47279;;;;;;63387;3/0/1;CNAME;afp.dotomi.weighted.com.akadns.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:50.282012;IP;localhost;domain ; localhost;47279;;;;;;59301;3/0/1;CNAME;afp.dotomi.weighted.com.akadns.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:50.286629;IP;localhost;domain ; localhost;33695;;;;;;15234;9/0/1;CNAME;dxedge-prod-lb-404808087.eu-central-1.elb.amazonaws.com.,;A;1;;;;;A;35.156.118.152,;A;18.196.54.165,;A;3.125.27.117,;A;18.196.86.25,;A;3.122.210.120;-237;;;;
