Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
20:05:06.034451;IP;localhost;34107; localhost;domain;;;;;;30240;[1au];A?;csi.gstatic.com.;-44;1
20:05:06.034947;IP;localhost;34107; localhost;domain;;;;;;2603;[1au];AAAA?;csi.gstatic.com.;-44;1
20:05:06.059709;IP;localhost;domain ; localhost;34107;;;;;;2603;1/0/1;AAAA;2800:3f0:4005:404::2003;-72;1
20:05:06.059796;IP;localhost;domain ; localhost;34107;;;;;;30240;1/0/1;A;172.217.20.3;-60;1
20:05:06.452251;IP;localhost;56946; localhost;domain;;;;;;61053;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1
20:05:06.452415;IP;localhost;domain ; localhost;56946;;;;;;61053;1/0/1;PTR;localhost.;-75;1
20:05:08.519791;IP;localhost;51257; localhost;domain;;;;;;58932;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
20:05:08.520875;IP;localhost;51257; localhost;domain;;;;;;47683;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
20:05:08.542940;IP;localhost;domain ; localhost;51257;;;;;;58932;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
20:05:08.569186;IP;localhost;domain ; localhost;51257;;;;;;47683;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
20:05:09.556175;IP;localhost;54705; localhost;domain;;;;;;55966;[1au];A?;redirector.gvt1.com.;-48;1
20:05:09.556556;IP;localhost;54705; localhost;domain;;;;;;44713;[1au];AAAA?;redirector.gvt1.com.;-48;1
20:05:09.578079;IP;localhost;domain ; localhost;54705;;;;;;55966;1/0/1;A;172.217.19.238;-64;1
20:05:09.581100;IP;localhost;domain ; localhost;54705;;;;;;44713;1/0/1;AAAA;2a00:1450:4007:80c::200e;-76;1
20:05:09.911950;IP;localhost;59713; localhost;domain;;;;;;8018;[1au];A?;r5---sn-25ge7nse.gvt1.com.;-54;1
20:05:09.912329;IP;localhost;59713; localhost;domain;;;;;;52060;[1au];AAAA?;r5---sn-25ge7nse.gvt1.com.;-54;1
20:05:09.925373;IP;localhost;41732; localhost;domain;;;;;;63366;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
20:05:09.925890;IP;localhost;41732; localhost;domain;;;;;;25490;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
20:05:09.926108;IP;localhost;domain ; localhost;41732;;;;;;25490;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
20:05:09.935385;IP;localhost;domain ; localhost;59713;;;;;;8018;2/0/1;CNAME;r5.sn-25ge7nse.gvt1.com.,;A;1
20:05:09.938171;IP;localhost;domain ; localhost;59713;;;;;;52060;2/0/1;CNAME;r5.sn-25ge7nse.gvt1.com.,;AAAA;1
20:05:09.949560;IP;localhost;domain ; localhost;41732;;;;;;63366;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
20:05:10.286568;IP;localhost;46919; localhost;domain;;;;;;28823;[1au];A?;r3---sn-25ge7nse.gvt1.com.;-54;1
20:05:10.287055;IP;localhost;46919; localhost;domain;;;;;;56484;[1au];AAAA?;r3---sn-25ge7nse.gvt1.com.;-54;1
