Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
20:12:51.961601;IP;localhost;51692; localhost;domain;;;;;;23648;[1au];A?;acdn.adnxs.com.;-43;1
20:12:51.962209;IP;localhost;51692; localhost;domain;;;;;;37994;[1au];AAAA?;acdn.adnxs.com.;-43;1
20:12:51.983456;IP;localhost;domain ; localhost;51692;;;;;;23648;2/0/1;CNAME;prod.appnexus.map.fastly.net.,;A;1
20:12:51.986473;IP;localhost;domain ; localhost;51692;;;;;;37994;1/0/1;CNAME;prod.appnexus.map.fastly.net.;-85;1
20:12:52.141332;IP;localhost;34778; localhost;domain;;;;;;22264;[1au];A?;sic.33across.com.;-45;1
20:12:52.141833;IP;localhost;34778; localhost;domain;;;;;;61954;[1au];AAAA?;sic.33across.com.;-45;1
20:12:52.145334;IP;localhost;40775; localhost;domain;;;;;;64137;[1au];A?;sic.33across.com.;-45;1
20:12:52.164061;IP;localhost;domain ; localhost;40775;;;;;;64137;2/0/1;CNAME;chi.sic.33across.com.,;A;1
20:12:52.164151;IP;localhost;domain ; localhost;34778;;;;;;22264;2/0/1;CNAME;chi.sic.33across.com.,;A;1
20:12:52.215256;IP;localhost;domain ; localhost;34778;;;;;;61954;1/0/1;CNAME;chi.sic.33across.com.;-63;1
20:12:52.435990;IP;localhost;58846; localhost;domain;;;;;;37301;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1
20:12:52.436220;IP;localhost;domain ; localhost;58846;;;;;;37301;1/0/1;PTR;localhost.;-75;1
20:12:52.666077;IP;localhost;56076; localhost;domain;;;;;;27829;[1au];A?;ib.adnxs.com.;-41;1
20:12:52.666776;IP;localhost;domain ; localhost;56076;;;;;;27829;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
20:12:52.666882;IP;localhost;56076; localhost;domain;;;;;;2244;[1au];AAAA?;ib.adnxs.com.;-41;1
20:12:52.691688;IP;localhost;domain ; localhost;56076;;;;;;2244;2/0/1;CNAME;g.geogslb.com.,;CNAME;1
20:12:52.692473;IP;localhost;48586; localhost;domain;;;;;;47327;[1au];A?;ib.adnxs.com.;-41;1
20:12:52.692827;IP;localhost;domain ; localhost;48586;;;;;;47327;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
20:12:52.692867;IP;localhost;48586; localhost;domain;;;;;;2279;[1au];AAAA?;ib.adnxs.com.;-41;1
20:12:52.693051;IP;localhost;domain ; localhost;48586;;;;;;2279;2/0/1;CNAME;g.geogslb.com.,;CNAME;1
20:12:52.713980;IP;localhost;48751; localhost;domain;;;;;;20663;[1au];A?;ib.adnxs.com.;-41;1
20:12:52.714411;IP;localhost;domain ; localhost;48751;;;;;;20663;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
20:12:52.714562;IP;localhost;48751; localhost;domain;;;;;;7361;[1au];AAAA?;ib.adnxs.com.;-41;1
20:12:52.714761;IP;localhost;domain ; localhost;48751;;;;;;7361;2/0/1;CNAME;g.geogslb.com.,;CNAME;1
20:12:52.891333;IP;localhost;38222; localhost;domain;;;;;;6251;[1au];A?;securepubads.g.doubleclick.net.;-59;1
20:12:52.891787;IP;localhost;38222; localhost;domain;;;;;;7286;[1au];AAAA?;securepubads.g.doubleclick.net.;-59;1
20:12:52.915847;IP;localhost;domain ; localhost;38222;;;;;;7286;1/0/1;CNAME;partnerad.l.doubleclick.net.;-85;1
20:12:52.915969;IP;localhost;domain ; localhost;38222;;;;;;6251;2/0/1;CNAME;partnerad.l.doubleclick.net.,;A;1
20:12:53.018321;IP;localhost;43705; localhost;domain;;;;;;63374;[1au];A?;ssc.33across.com.;-45;1
20:12:53.018594;IP;localhost;domain ; localhost;43705;;;;;;63374;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.,;A;1
20:12:53.018628;IP;localhost;43705; localhost;domain;;;;;;32665;[1au];AAAA?;ssc.33across.com.;-45;1
20:12:53.018778;IP;localhost;domain ; localhost;43705;;;;;;32665;1/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.;-104;1
20:12:53.186826;IP;localhost;45428; localhost;domain;;;;;;53384;[1au];A?;de.tynt.com.;-40;1
20:12:53.187199;IP;localhost;45428; localhost;domain;;;;;;10387;[1au];AAAA?;de.tynt.com.;-40;1
20:12:53.187308;IP;localhost;domain ; localhost;45428;;;;;;10387;0/0/1;-40;;;1
20:12:53.218086;IP;localhost;domain ; localhost;45428;;;;;;53384;1/0/1;A;67.202.110.31;-56;1
20:12:53.389099;IP;localhost;33392; localhost;domain;;;;;;27658;[1au];A?;sic.33across.com.;-45;1
20:12:53.389358;IP;localhost;domain ; localhost;33392;;;;;;27658;2/0/1;CNAME;chi.sic.33across.com.,;A;1
20:12:53.389394;IP;localhost;33392; localhost;domain;;;;;;1044;[1au];AAAA?;sic.33across.com.;-45;1
20:12:53.389535;IP;localhost;domain ; localhost;33392;;;;;;1044;1/0/1;CNAME;chi.sic.33across.com.;-63;1
20:12:53.391121;IP;localhost;58998; localhost;domain;;;;;;44489;[1au];A?;sic.33across.com.;-45;1
20:12:53.391471;IP;localhost;domain ; localhost;58998;;;;;;44489;2/0/1;CNAME;chi.sic.33across.com.,;A;1
20:12:53.878030;IP;localhost;35256; localhost;domain;;;;;;31824;[1au];A?;ssc.33across.com.;-45;1
20:12:53.878289;IP;localhost;domain ; localhost;35256;;;;;;31824;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.,;A;1
20:12:53.878425;IP;localhost;35256; localhost;domain;;;;;;53339;[1au];AAAA?;ssc.33across.com.;-45;1
20:12:53.878596;IP;localhost;domain ; localhost;35256;;;;;;53339;1/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.;-104;1
20:12:53.972690;IP;localhost;48648; localhost;domain;;;;;;8533;[1au];A?;securepubads.g.doubleclick.net.;-59;1
20:12:53.973169;IP;localhost;domain ; localhost;48648;;;;;;8533;2/0/1;CNAME;partnerad.l.doubleclick.net.,;A;1
20:12:53.973476;IP;localhost;48648; localhost;domain;;;;;;48481;[1au];AAAA?;securepubads.g.doubleclick.net.;-59;1
20:12:53.973670;IP;localhost;domain ; localhost;48648;;;;;;48481;1/0/1;CNAME;partnerad.l.doubleclick.net.;-85;1
20:12:54.156873;IP;localhost;46370; localhost;domain;;;;;;2754;[1au];A?;ib.adnxs.com.;-41;1
20:12:54.157281;IP;localhost;domain ; localhost;46370;;;;;;2754;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
