Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:54:50.426417;IP;localhost;domain ; localhost;40151;;;;;;48131;2/0/1;A;104.26.2.46,;A;1
19:54:50.428028;IP;localhost;domain ; localhost;56033;;;;;;50211;2/0/1;AAAA;2606:4700:20::681a:32e,;AAAA;1
19:54:50.577340;IP;localhost;54695; localhost;domain;;;;;;55612;[1au];A?;logging.carambo.la.;-47;1
19:54:50.577953;IP;localhost;54695; localhost;domain;;;;;;62793;[1au];AAAA?;logging.carambo.la.;-47;1
19:54:50.599329;IP;localhost;domain ; localhost;54695;;;;;;55612;3/0/1;CNAME;cbola-logging-1-t3.us-east-1.elasticbeanstalk.com.,;A;1
19:54:50.602844;IP;localhost;domain ; localhost;54695;;;;;;62793;1/0/1;CNAME;cbola-logging-1-t3.us-east-1.elasticbeanstalk.com.;-110;1
19:54:51.771917;IP;localhost;55383; localhost;domain;;;;;;1311;[1au];A?;outlook.live.com.;-45;1
19:54:51.772376;IP;localhost;55383; localhost;domain;;;;;;62762;[1au];AAAA?;outlook.live.com.;-45;1
19:54:51.799522;IP;localhost;domain ; localhost;55383;;;;;;1311;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:51.800257;IP;localhost;domain ; localhost;55383;;;;;;62762;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
19:54:51.950328;IP;localhost;44020; localhost;domain;;;;;;59444;[1au];A?;ccf.admeen.org.;-43;1
19:54:51.950922;IP;localhost;44020; localhost;domain;;;;;;12357;[1au];AAAA?;ccf.admeen.org.;-43;1
19:54:51.953729;IP;localhost;43981; localhost;domain;;;;;;27860;[1au];A?;ccf.admeen.org.;-43;1
19:54:51.973333;IP;localhost;domain ; localhost;44020;;;;;;59444;2/0/1;A;104.24.17.66,;A;1
19:54:51.973384;IP;localhost;domain ; localhost;43981;;;;;;27860;2/0/1;A;104.24.17.66,;A;1
19:54:51.975746;IP;localhost;domain ; localhost;44020;;;;;;12357;0/0/1;-43;;;1
19:54:51.985025;IP;localhost;34578; localhost;domain;;;;;;9426;[1au];A?;tcf.admeen.org.;-43;1
19:54:51.985527;IP;localhost;34578; localhost;domain;;;;;;16607;[1au];AAAA?;tcf.admeen.org.;-43;1
19:54:51.988043;IP;localhost;45619; localhost;domain;;;;;;27759;[1au];A?;tcf.admeen.org.;-43;1
19:54:52.009547;IP;localhost;domain ; localhost;34578;;;;;;16607;0/0/1;-43;;;1
19:54:52.009689;IP;localhost;domain ; localhost;45619;;;;;;27759;2/0/1;A;104.24.17.66,;A;1
19:54:52.009729;IP;localhost;domain ; localhost;34578;;;;;;9426;2/0/1;A;104.24.17.66,;A;1
