Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:06:36;IP;localhost;51228;localhost;domain;;;;;;58255;[1au];A?;browser;pipe;1
19:06:36;IP;localhost;51228;localhost;domain;;;;;;41885;[1au];AAAA?;browser;pipe;1
19:06:36;IP;localhost;domain;localhost;51228;;;;;;58255;3/0/1;CNAME;browser;events;1
19:06:36;IP;localhost;domain;localhost;51228;;;;;;41885;2/0/1;CNAME;browser;events;1
19:06:36;IP;localhost;;localhost;;ICMP;echo request;60967;0;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo reply;60967;0;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo request;60967;256;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo reply;60967;256;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo request;60967;512;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo request;60967;512;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo reply;60967;768;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo request;60967;768;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo reply;60967;1024;8;;;;;;0
19:06:36;IP;localhost;;localhost;;ICMP;echo request;60967;1024;8;;;;;;0
19:06:37;IP;localhost;40433;localhost;domain;;;;;;59680;[1au];PTR?;53;-52;1
19:06:37;IP;localhost;domain;localhost;40433;;;;;;59680;1/0/1;PTR;localhost;-75;1
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;1280;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;1280;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;1536;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;1536;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;1792;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;1792;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;2048;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;2048;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;2304;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;2304;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;2560;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;2560;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;2816;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;2816;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;3072;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;3072;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;3328;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;3328;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo request;60967;3584;8;;;;;;0
19:06:37;IP;localhost;;localhost;;ICMP;echo reply;60967;3584;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;3840;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;3840;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;4096;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;4096;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;4352;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;4352;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;4608;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;4608;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;4864;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;4864;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;5120;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;5120;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;5376;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;5376;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;5632;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;5632;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;5888;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;5888;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo request;60967;6144;8;;;;;;0
19:06:38;IP;localhost;;localhost;;ICMP;echo reply;60967;6144;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;6400;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;6400;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;6656;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;6656;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;6912;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;6912;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;7168;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;7168;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;7424;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;7424;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;7680;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;7680;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;7936;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;7936;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;8192;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;8192;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo request;60967;8448;8;;;;;;0
19:06:39;IP;localhost;;localhost;;ICMP;echo reply;60967;8448;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;8704;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;8704;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;8960;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;8960;8;;;;;;0
19:06:40;IP;localhost;52767;localhost;domain;;;;;;40196;[1au];A?;browser;pipe;1
19:06:40;IP;localhost;52767;localhost;domain;;;;;;51472;[1au];AAAA?;browser;pipe;1
19:06:40;IP;localhost;domain;localhost;52767;;;;;;51472;2/0/1;CNAME;browser;events;1
19:06:40;IP;localhost;domain;localhost;52767;;;;;;40196;3/0/1;CNAME;browser;events;1
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;9216;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;9216;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;9472;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;9472;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;9728;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;9728;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;9984;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;9984;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;10240;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;10240;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;10496;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;10496;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;10752;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;10752;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo request;60967;11008;8;;;;;;0
19:06:40;IP;localhost;;localhost;;ICMP;echo reply;60967;11008;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;11264;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;11264;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;11520;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;11520;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;11776;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;11776;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;12032;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;12032;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;12288;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;12288;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;12544;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;12544;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;12800;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;12800;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;13056;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;13056;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;13312;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;13312;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo request;60967;13568;8;;;;;;0
19:06:41;IP;localhost;;localhost;;ICMP;echo reply;60967;13568;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;13824;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;13824;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;14080;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;14080;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;14336;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;14336;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;14592;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;14592;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;14848;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;14848;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;15104;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;15104;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;15360;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;15360;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;15616;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;15616;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;15872;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;15872;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo request;60967;16128;8;;;;;;0
19:06:42;IP;localhost;;localhost;;ICMP;echo reply;60967;16128;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;16384;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;16384;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;16640;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;16640;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;16896;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;16896;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;17152;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;17152;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;17408;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;17408;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;17664;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;17664;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;17920;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;17920;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;18176;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;18176;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;18432;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;18432;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo request;60967;18688;8;;;;;;0
19:06:43;IP;localhost;;localhost;;ICMP;echo reply;60967;18688;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo request;60967;18944;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo reply;60967;18944;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo request;60967;19200;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo reply;60967;19200;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo request;60967;19456;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo reply;60967;19456;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo request;60967;19712;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo reply;60967;19712;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo request;60967;19968;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo reply;60967;19968;8;;;;;;0
19:06:44;IP;localhost;;localhost;;ICMP;echo request;60967;20224;8;;;;;;0
