Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:16:29.570569;IP;localhost ;; localhost;;ICMP;echo reply;50472;17152;8;;;;;;0
19:16:29.579735;IP;localhost;50742; localhost;domain;;;;;;53987;[1au];A?;www.1001jeux.fr.;-44;1
19:16:29.580043;IP;localhost;domain ; localhost;50742;;;;;;53987;2/0/1;A;104.26.2.46,;A;1
19:16:29.580104;IP;localhost;50742; localhost;domain;;;;;;1776;[1au];AAAA?;www.1001jeux.fr.;-44;1
19:16:29.580209;IP;localhost;domain ; localhost;50742;;;;;;1776;2/0/1;AAAA;2606;;1
19:16:29.590405;IP;localhost;47330; localhost;domain;;;;;;12098;[1au];A?;ccf.admeen.org.;-43;1
19:16:29.590805;IP;localhost;domain ; localhost;47330;;;;;;12098;2/0/1;A;104.24.16.66,;A;1
19:16:29.590853;IP;localhost;47330; localhost;domain;;;;;;31567;[1au];AAAA?;ccf.admeen.org.;-43;1
19:16:29.590986;IP;localhost;domain ; localhost;47330;;;;;;31567;0/0/1;-43;;;0
19:16:29.670869;IP;localhost ;; localhost;;;;;;;;;;;;0
19:16:29.670884;IP;localhost ;; localhost;;;;;;;;;;;;0
19:16:29.730438;IP;localhost;40862; localhost;domain;;;;;;14049;[1au];A?;tcf.admeen.org.;-43;1
19:16:29.730667;IP;localhost;domain ; localhost;40862;;;;;;14049;2/0/1;A;104.24.16.66,;A;1
19:16:29.731772;IP;localhost;40862; localhost;domain;;;;;;24306;[1au];AAAA?;tcf.admeen.org.;-43;1
19:16:29.731983;IP;localhost;domain ; localhost;40862;;;;;;24306;0/0/1;-43;;;1
19:16:29.771775;IP;localhost ;; localhost;;;;;;;;;;;;0
19:16:29.771795;IP;localhost ;; localhost;;;;;;;;;;;;0
19:16:29.812791;IP;localhost;53714; localhost;domain;;;;;;44684;[1au];A?;tcf.admeen.org.;-43;1
19:16:29.813043;IP;localhost;domain ; localhost;53714;;;;;;44684;2/0/1;A;104.24.16.66,;A;1
19:16:29.813085;IP;localhost;53714; localhost;domain;;;;;;13981;[1au];AAAA?;tcf.admeen.org.;-43;1
19:16:29.813209;IP;localhost;domain ; localhost;53714;;;;;;13981;0/0/1;-43;;;1
