Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
19:48:33.185994;IP;localhost;domain ; localhost;44465;;;;;;22237;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:33.207318;IP;localhost;domain ; localhost;44465;;;;;;52942;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:34.209056;IP;localhost;36253; localhost;domain;;;;;;27455;[1au];A?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:34.209550;IP;localhost;36253; localhost;domain;;;;;;24394;[1au];AAAA?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:34.234074;IP;localhost;domain ; localhost;36253;;;;;;24394;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1;;;;;;;;;;;;;;
19:48:34.234188;IP;localhost;domain ; localhost;36253;;;;;;27455;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:34.257453;IP;localhost;40190; localhost;domain;;;;;;12218;[1au];A?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:34.257708;IP;localhost;domain ; localhost;40190;;;;;;12218;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:34.257742;IP;localhost;40190; localhost;domain;;;;;;61380;[1au];AAAA?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:34.257883;IP;localhost;domain ; localhost;40190;;;;;;61380;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1;;;;;;;;;;;;;;
19:48:36.291765;IP;localhost;38383; localhost;domain;;;;;;9768;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:36.292474;IP;localhost;domain ; localhost;38383;;;;;;9768;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:36.292555;IP;localhost;38383; localhost;domain;;;;;;7223;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:36.292918;IP;localhost;domain ; localhost;38383;;;;;;7223;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:36.307894;IP;localhost;38551; localhost;domain;;;;;;14566;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:36.308377;IP;localhost;domain ; localhost;38551;;;;;;14566;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:36.308426;IP;localhost;38551; localhost;domain;;;;;;6901;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:36.308782;IP;localhost;domain ; localhost;38551;;;;;;6901;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:38.530711;IP;localhost;46858; localhost;domain;;;;;;7808;[1au];A?;rb.adnxs.com.;-41;1;;;;;;;;;;;;;;
19:48:38.531158;IP;localhost;46858; localhost;domain;;;;;;1675;[1au];AAAA?;rb.adnxs.com.;-41;1;;;;;;;;;;;;;;
19:48:38.552948;IP;localhost;domain ; localhost;46858;;;;;;7808;8/0/1;A;37.252.167.210,;A;1;;;;;;;;;;;;;;
19:48:38.556405;IP;localhost;54075; localhost;domain;;;;;;29344;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:38.556753;IP;localhost;domain ; localhost;54075;;;;;;29344;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:38.556931;IP;localhost;54075; localhost;domain;;;;;;1707;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:38.557136;IP;localhost;domain ; localhost;54075;;;;;;1707;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:38.572997;IP;localhost;domain ; localhost;46858;;;;;;1675;0/0/1;-41;;;1;;;;;;;;;;;;;;
19:48:38.777560;IP;localhost;48497; localhost;domain;;;;;;29805;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:38.777856;IP;localhost;domain ; localhost;48497;;;;;;29805;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:38.777958;IP;localhost;48497; localhost;domain;;;;;;5239;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:38.778152;IP;localhost;domain ; localhost;48497;;;;;;5239;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:38.949202;IP;localhost;39823; localhost;domain;;;;;;49693;[1au];A?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;
19:48:38.949569;IP;localhost;domain ; localhost;39823;;;;;;49693;10/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;-218
19:48:38.949607;IP;localhost;39823; localhost;domain;;;;;;10793;[1au];AAAA?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;
19:48:38.973345;IP;localhost;37246; localhost;domain;;;;;;12920;[1au];A?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:38.973614;IP;localhost;domain ; localhost;37246;;;;;;12920;8/0/1;A;37.252.172.37,;A;1;;;;;;;;;;;;;;
19:48:38.973811;IP;localhost;37246; localhost;domain;;;;;;54913;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:38.973964;IP;localhost;domain ; localhost;37246;;;;;;54913;0/0/1;-46;;;1;;;;;;;;;;;;;;
19:48:38.975904;IP;localhost;domain ; localhost;39823;;;;;;10793;2/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;
19:48:39.014768;IP;localhost;44032; localhost;domain;;;;;;49332;[1au];A?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:39.015073;IP;localhost;domain ; localhost;44032;;;;;;49332;8/0/1;A;37.252.172.37,;A;1;;;;;;;;;;;;;;
19:48:39.015112;IP;localhost;44032; localhost;domain;;;;;;43198;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:39.015209;IP;localhost;domain ; localhost;44032;;;;;;43198;0/0/1;-46;;;1;;;;;;;;;;;;;;
19:48:39.870480;IP;localhost;47224; localhost;domain;;;;;;5008;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:39.870799;IP;localhost;domain ; localhost;47224;;;;;;5008;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:39.870835;IP;localhost;47224; localhost;domain;;;;;;12187;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:39.871105;IP;localhost;domain ; localhost;47224;;;;;;12187;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:39.894098;IP;localhost;42974; localhost;domain;;;;;;32662;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:39.894480;IP;localhost;domain ; localhost;42974;;;;;;32662;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:39.895226;IP;localhost;42974; localhost;domain;;;;;;20387;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:39.895625;IP;localhost;domain ; localhost;42974;;;;;;20387;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:40.886984;IP;localhost;58250; localhost;domain;;;;;;65212;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:40.887689;IP;localhost;58250; localhost;domain;;;;;;47817;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:40.887916;IP;localhost;domain ; localhost;58250;;;;;;47817;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:40.909063;IP;localhost;domain ; localhost;58250;;;;;;65212;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:41.574682;IP;localhost;47001; localhost;domain;;;;;;14762;[1au];A?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:41.575113;IP;localhost;domain ; localhost;47001;;;;;;14762;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:41.575163;IP;localhost;47001; localhost;domain;;;;;;42167;[1au];AAAA?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:41.597769;IP;localhost;domain ; localhost;47001;;;;;;42167;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1;;;;;;;;;;;;;;
19:48:41.601798;IP;localhost;44384; localhost;domain;;;;;;7282;[1au];A?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:41.602135;IP;localhost;domain ; localhost;44384;;;;;;7282;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:41.602217;IP;localhost;44384; localhost;domain;;;;;;25724;[1au];AAAA?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:41.602499;IP;localhost;domain ; localhost;44384;;;;;;25724;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1;;;;;;;;;;;;;;
19:48:43.947055;IP;localhost;59404; localhost;domain;;;;;;10616;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:43.947385;IP;localhost;domain ; localhost;59404;;;;;;10616;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
