Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
15:41:50.615548;IP;localhost;domain;localhost;36820;;;;;;59746;2/0/1;CNAME;static-doubleclick-net.l.google.com.,;A;1
15:41:50.615822;IP;localhost;35030;localhost;domain;;;;;;2628;[1au];A?;pagead2.googlesyndication.com.;-58;1
15:41:50.616246;IP;localhost;50211;localhost;domain;;;;;;64148;[1au];A?;tpc.googlesyndication.com.;-54;1
15:41:50.616505;IP;localhost;50211;localhost;domain;;;;;;56986;[1au];AAAA?;tpc.googlesyndication.com.;-54;1
15:41:50.616797;IP;localhost;35030;localhost;domain;;;;;;14924;[1au];AAAA?;pagead2.googlesyndication.com.;-58;1
15:41:50.617576;IP;localhost;55387;localhost;domain;;;;;;33097;[1au];AAAA?;s.ytimg.com.;-40;1
15:41:50.636340;IP;localhost;domain;localhost;55387;;;;;;33090;1/0/1;A;216.58.213.174;-56;1
15:41:50.637088;IP;localhost;domain;localhost;35030;;;;;;2628;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1
15:41:50.639823;IP;localhost;domain;localhost;50211;;;;;;56986;1/0/1;AAAA;2a00:1450:4007:80a::2001;-82;1
15:41:50.639992;IP;localhost;domain;localhost;50211;;;;;;64148;1/0/1;A;216.58.204.129;-70;1
15:41:50.641065;IP;localhost;domain;localhost;55387;;;;;;33097;1/0/1;AAAA;2a00:1450:4007:80c::200e;-68;1
15:41:50.641334;IP;localhost;domain;localhost;35030;;;;;;14924;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1
15:41:51.180764;IP;localhost;37099;localhost;domain;;;;;;13107;[1au];A?;i.ytimg.com.;-40;1
15:41:51.181004;IP;localhost;domain;localhost;37099;;;;;;13107;1/0/1;A;216.58.206.246;-56;1
15:41:51.181046;IP;localhost;37099;localhost;domain;;;;;;49983;[1au];AAAA?;i.ytimg.com.;-40;1
15:41:51.206810;IP;localhost;domain;localhost;37099;;;;;;49983;1/0/1;AAAA;2a00:1450:4007:805::2016;-68;1
15:41:51.832065;IP;localhost;54262;localhost;domain;;;;;;11491;[1au];A?;fonts.gstatic.com.;-46;1
15:41:51.832555;IP;localhost;54262;localhost;domain;;;;;;22765;[1au];AAAA?;fonts.gstatic.com.;-46;1
15:41:51.853527;IP;localhost;domain;localhost;54262;;;;;;11491;2/0/1;CNAME;gstaticadssl.l.google.com.,;A;1
15:41:51.854279;IP;localhost;domain;localhost;54262;;;;;;22765;2/0/1;CNAME;gstaticadssl.l.google.com.,;AAAA;1
15:41:52.040200;IP;localhost;41588;localhost;domain;;;;;;50880;[1au];A?;r2---sn-25glen7l.googlevideo.com.;-61;1
15:41:52.041563;IP;localhost;41588;localhost;domain;;;;;;5839;[1au];AAAA?;r2---sn-25glen7l.googlevideo.com.;-61;1
15:41:52.061462;IP;localhost;domain;localhost;41588;;;;;;50880;2/0/1;CNAME;r2.sn-25glen7l.googlevideo.com.,;A;1
15:41:52.063242;IP;localhost;domain;localhost;41588;;;;;;5839;2/0/1;CNAME;r2.sn-25glen7l.googlevideo.com.,;AAAA;1
15:41:54.113267;IP;localhost;36460;localhost;domain;;;;;;62561;[1au];A?;www.youtube.com.;-44;1
15:41:54.113646;IP;localhost;domain;localhost;36460;;;;;;62561;11/0/1;CNAME;youtube-ui.l.google.com.,;A;1
15:41:54.113688;IP;localhost;36460;localhost;domain;;;;;;12396;[1au];AAAA?;www.youtube.com.;-44;1
15:41:54.134456;IP;localhost;domain;localhost;36460;;;;;;12396;2/0/1;CNAME;youtube-ui.l.google.com.,;AAAA;1
15:41:56.412753;IP;localhost;40768;localhost;domain;;;;;;17592;[1au];A?;incoming.telemetry.mozilla.org.;-59;1
15:41:56.413281;IP;localhost;40768;localhost;domain;;;;;;38082;[1au];AAAA?;incoming.telemetry.mozilla.org.;-59;1
15:41:56.435394;IP;localhost;domain;localhost;40768;;;;;;17592;10/0/1;CNAME;telemetry-incoming.r53-2.services.mozilla.com.,;CNAME;1
15:41:56.459369;IP;localhost;domain;localhost;40768;;;;;;38082;2/0/1;CNAME;telemetry-incoming.r53-2.services.mozilla.com.,;CNAME;1
15:41:59.960495;IP;localhost;49803;localhost;domain;;;;;;31463;[1au];A?;outlook.live.com.;-45;1
15:41:59.961106;IP;localhost;49803;localhost;domain;;;;;;59124;[1au];AAAA?;outlook.live.com.;-45;1
15:41:59.963115;IP;localhost;40930;localhost;domain;;;;;;39471;[1au];A?;www.isi.edu.;-40;1
15:41:59.963581;IP;localhost;40930;localhost;domain;;;;;;23098;[1au];AAAA?;www.isi.edu.;-40;1
15:41:59.964454;IP;localhost;49715;localhost;domain;;;;;;757;[1au];A?;arche.univ-lorraine.fr.;-51;1
15:41:59.965035;IP;localhost;49715;localhost;domain;;;;;;47617;[1au];AAAA?;arche.univ-lorraine.fr.;-51;1
15:41:59.986620;IP;localhost;domain;localhost;49803;;;;;;31463;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
15:41:59.988179;IP;localhost;domain;localhost;49715;;;;;;757;2/0/1;CNAME;moodlehttp.dc.univ-lorraine.fr.,;A;1
15:41:59.989161;IP;localhost;domain;localhost;49803;;;;;;59124;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
15:41:59.990268;IP;localhost;60288;localhost;domain;;;;;;37519;[1au];A?;www.tutorialsweb.com.;-49;1
15:41:59.990649;IP;localhost;60288;localhost;domain;;;;;;27288;[1au];AAAA?;www.tutorialsweb.com.;-49;1
15:42:00.008745;IP;localhost;domain;localhost;49715;;;;;;47617;1/0/1;CNAME;moodlehttp.dc.univ-lorraine.fr.;-79;1
15:42:00.009151;IP;localhost;45022;localhost;domain;;;;;;55957;[1au];A?;www.lucaswillems.com.;-49;1
15:42:00.009604;IP;localhost;45022;localhost;domain;;;;;;51875;[1au];AAAA?;www.lucaswillems.com.;-49;1
15:42:00.037051;IP;localhost;domain;localhost;45022;;;;;;51875;1/0/1;AAAA;2a02:2350:5:102:ef80:0:c23:2558;-77;1
15:42:00.062799;IP;localhost;domain;localhost;45022;;;;;;55957;1/0/1;A;77.111.240.190;-65;1
15:42:00.063450;IP;localhost;41591;localhost;domain;;;;;;57977;[1au];A?;projecteuler.net.;-45;1
15:42:00.064006;IP;localhost;41591;localhost;domain;;;;;;26243;[1au];AAAA?;projecteuler.net.;-45;1
15:42:00.085013;IP;localhost;domain;localhost;41591;;;;;;57977;1/0/1;A;31.170.122.77;-61;1
15:42:00.149051;IP;localhost;domain;localhost;40930;;;;;;39471;1/0/1;A;128.9.47.110;-56;1
15:42:00.193392;IP;localhost;domain;localhost;41591;;;;;;26243;0/0/1;-45;;;1
15:42:00.193776;IP;localhost;48936;localhost;domain;;;;;;44048;[1au];A?;www.linkedin.com.;-45;1
15:42:00.194200;IP;localhost;48936;localhost;domain;;;;;;43034;[1au];AAAA?;www.linkedin.com.;-45;1
15:42:00.214777;IP;localhost;domain;localhost;48936;;;;;;44048;4/0/1;CNAME;www-src.linkedin.com.,;CNAME;1
15:42:00.215552;IP;localhost;domain;localhost;48936;;;;;;43034;4/0/1;CNAME;www-src.linkedin.com.,;CNAME;1
15:42:00.215974;IP;localhost;46372;localhost;domain;;;;;;22572;[1au];A?;www.cheminots.net.;-46;1
15:42:00.216303;IP;localhost;46372;localhost;domain;;;;;;8245;[1au];AAAA?;www.cheminots.net.;-46;1
15:42:00.242571;IP;localhost;domain;localhost;46372;;;;;;22572;1/0/1;A;91.121.64.81;-62;1
15:42:00.248229;IP;localhost;domain;localhost;46372;;;;;;8245;0/0/1;-46;;;1
15:42:00.248626;IP;localhost;55890;localhost;domain;;;;;;17549;[1au];A?;fr.linkedin.com.;-44;1
15:42:00.248934;IP;localhost;55890;localhost;domain;;;;;;9366;[1au];AAAA?;fr.linkedin.com.;-44;1
15:42:00.272919;IP;localhost;domain;localhost;55890;;;;;;17549;4/0/1;CNAME;cctld.linkedin.com.,;CNAME;1
15:42:00.273747;IP;localhost;domain;localhost;55890;;;;;;9366;4/0/1;CNAME;cctld.linkedin.com.,;CNAME;1
15:42:00.274217;IP;localhost;34965;localhost;domain;;;;;;61690;[1au];A?;www.slideshare.net.;-47;1
15:42:00.274538;IP;localhost;34965;localhost;domain;;;;;;44034;[1au];AAAA?;www.slideshare.net.;-47;1
15:42:00.296497;IP;localhost;domain;localhost;34965;;;;;;44034;2/0/1;CNAME;pop-efr5.www.slideshare.net.,;AAAA;1
15:42:00.298099;IP;localhost;domain;localhost;34965;;;;;;61690;2/0/1;CNAME;pop-efr5.www.slideshare.net.,;A;1
15:42:00.298514;IP;localhost;39012;localhost;domain;;;;;;26787;[1au];A?;support.mozilla.org.;-48;1
15:42:00.299028;IP;localhost;39012;localhost;domain;;;;;;10414;[1au];AAAA?;support.mozilla.org.;-48;1
15:42:00.324631;IP;localhost;domain;localhost;39012;;;;;;26787;3/0/1;CNAME;prod-tp.sumo.mozit.cloud.,;A;1
15:42:00.334906;IP;localhost;domain;localhost;40930;;;;;;23098;0/0/1;-40;;;1
15:42:00.346686;IP;localhost;domain;localhost;39012;;;;;;10414;1/0/1;CNAME;prod-tp.sumo.mozit.cloud.;-86;1
15:42:00.593608;IP;localhost;domain;localhost;60288;;;;;;37519;2/0/1;CNAME;tutorialsweb.com.,;A;1
15:42:00.770845;IP;localhost;39568;localhost;domain;;;;;;8920;[1au];A?;yt3.ggpht.com.;-42;1
15:42:00.771542;IP;localhost;39568;localhost;domain;;;;;;1766;[1au];AAAA?;yt3.ggpht.com.;-42;1
15:42:00.792713;IP;localhost;domain;localhost;39568;;;;;;8920;2/0/1;CNAME;photos-ugc.l.googleusercontent.com.,;A;1
