Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;6693;5398;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;6693;5398;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;61476;41245;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;61476;41245;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;6693;5654;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;6693;5654;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;6693;5910;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;6693;5910;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;61476;41501;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;61476;41501;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;6693;6166;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;6693;6166;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;61476;41757;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;61476;41757;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;61476;42013;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;61476;42013;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;6693;6422;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;6693;6422;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo request;61476;42269;8;;;;;;0;;;;;;;;;;;;;;
18:36:20;IP;localhost;;localhost;;ICMP;echo reply;61476;42269;8;;;;;;0;;;;;;;;;;;;;;
